run_id,candidate_id,case_id,split,category,schema_score,task_score,exact_score,latency_ms,prompt_tokens,completion_tokens,total_tokens,cost_usd,retry_count,rate_limit_count,failure_class,needs_review
run_81c100990d40,baseline,EXT-001,train,clean,0.0,0.5111111111111111,0.0,1.1074000503867865,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-002,train,clean,0.0,0.5734265734265734,0.0,0.10020006448030472,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-003,train,clean,0.0,0.6222222222222222,0.0,0.10840001050382853,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-004,train,missing-field,0.0,0.8333333333333334,0.0,0.08919998072087765,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-005,train,unknown-enum,0.0,0.5416666666666666,0.0,0.08510006591677666,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-006,train,clean,0.0,0.6785714285714285,0.0,0.07289997301995754,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-007,train,missing-field,0.0,0.6944444444444445,0.0,0.0681999372318387,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-008,train,clean,0.0,0.6638888888888889,0.0,0.041599967516958714,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-009,train,adversarial-text,0.0,0.6055555555555555,0.0,0.0567000824958086,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-010,train,clean,0.0,0.8333333333333334,0.0,0.08040003012865782,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-011,train,missing-field,0.0,0.8333333333333334,0.0,0.05789997521787882,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-012,train,unknown-enum,0.0,0.5555555555555555,0.0,0.047200010158121586,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-013,heldout,clean,0.0,0.6777777777777777,0.0,0.046200002543628216,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-014,heldout,clean,0.0,0.7083333333333334,0.0,0.045599997974932194,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-015,heldout,missing-field,0.0,0.7572649572649572,0.0,0.03979995381087065,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-016,heldout,transient-boundary,0.0,0.6666666666666666,0.0,0.06959994789212942,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-017,heldout,ambiguous-date,0.0,0.5111111111111111,0.0,0.0754999928176403,,,,0.0,0,0,,True
run_81c100990d40,baseline,EXT-018,heldout,unknown-enum,0.0,0.5151515151515151,0.0,0.08600007276982069,,,,0.0,0,0,,True
run_81c100990d40,structured,EXT-001,train,clean,1.0,1.0,1.0,0.2386999549344182,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-002,train,clean,1.0,1.0,1.0,0.056200078688561916,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-003,train,clean,1.0,1.0,1.0,0.07479998748749495,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-004,train,missing-field,1.0,1.0,1.0,0.10219996329396963,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-005,train,unknown-enum,1.0,1.0,1.0,0.061400001868605614,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-006,train,clean,1.0,1.0,1.0,0.09099999442696571,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-007,train,missing-field,1.0,1.0,1.0,0.08549995254725218,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-008,train,clean,1.0,1.0,1.0,0.08719996549189091,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-009,train,adversarial-text,1.0,1.0,1.0,0.06120000034570694,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-010,train,clean,1.0,1.0,1.0,0.060999998822808266,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-011,train,missing-field,1.0,1.0,1.0,0.05070003680884838,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-012,train,unknown-enum,1.0,1.0,1.0,0.08919998072087765,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-013,heldout,clean,1.0,1.0,1.0,0.06649992428719997,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-014,heldout,clean,1.0,1.0,1.0,0.05449994932860136,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-015,heldout,missing-field,1.0,1.0,1.0,0.06740004755556583,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-016,heldout,transient-boundary,1.0,1.0,1.0,0.09180000051856041,,,,0.0,0,0,,False
run_81c100990d40,structured,EXT-017,heldout,ambiguous-date,1.0,0.8333333333333334,0.0,0.1716000260785222,,,,0.0,0,0,,True
run_81c100990d40,structured,EXT-018,heldout,unknown-enum,1.0,1.0,1.0,0.08749996777623892,,,,0.0,0,0,,False
